File,Line,Method,RawQuery,Classification
apps/api/src/reporting/reporting.processor.ts,35,runAsSystem,,"UNSAFE"
apps/api/src/chat/chat.service.ts,122,runAsSystem,,"UNSAFE"
apps/api/src/chat/chat.service.ts,162,runAsSystem,,"UNSAFE"
apps/api/src/chat/chat.service.ts,228,runAsSystem,,"UNSAFE"
apps/api/src/chat/chat.service.ts,238,runAsSystem,,"UNSAFE"
apps/api/src/chat/chat.service.ts,246,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/gps/gps.service.ts,17,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/gps/gps.service.ts,32,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/gps/gps.service.ts,45,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/gps/gps.service.ts,65,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/health/business-health.scheduler.ts,24,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/network/lin.controller.ts,16,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/network/lin-anonymization.service.ts,71,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/network/lin-benchmark.engine.ts,30,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/network/lin-benchmark.engine.ts,52,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/network/lin-benchmark.engine.ts,82,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/alerts/alert.engine.service.ts,20,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/geofence/geofence.service.ts,44,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/geofence/geofence.service.ts,61,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/geofence/geofence.service.ts,72,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/geofence/geofence.service.ts,105,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/rules/rule-engine.service.ts,41,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/occ/occ.controller.ts,25,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/occ/occ.controller.ts,45,runAsSystem,,"UNSAFE"
apps/api/src/intelligence/analytics/driver.scoring.service.ts,18,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,69,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,81,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,137,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,212,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,223,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,261,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,287,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,355,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,383,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,402,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,466,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,482,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,503,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,540,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,557,runAsSystem,,"UNSAFE"
