Controller,Route,AuthType,Permissions
customers.controller.ts,,AUTH,  @Post()
customers.controller.ts,,AUTH,  @Post()
customers.controller.ts,,AUTH,  @Post()
customers.controller.ts,,AUTH,  @Post()
customers.controller.ts,':id',AUTH,  @Post()
customers.controller.ts,'id',AUTH,  @Post()
customers.controller.ts,':id',AUTH,  @Post()
customers.controller.ts,,AUTH,  @Post()
customers.controller.ts,':id',AUTH,  @Post()
customers.controller.ts,'id',AUTH,  @Post()
loads.controller.ts,,AUTH,  @Post()
loads.controller.ts,,AUTH,  @Post()
loads.controller.ts,,AUTH,  @Post()
loads.controller.ts,,AUTH,  @Post()
loads.controller.ts,':id',AUTH,  @Post()
loads.controller.ts,'id',AUTH,  @Post()
loads.controller.ts,':id',AUTH,  @Post()
loads.controller.ts,,AUTH,  @Post()
loads.controller.ts,':id',AUTH,  @Post()
loads.controller.ts,'id',AUTH,  @Post()
comments.controller.ts,':entityType/:entityId',AUTH,
comments.controller.ts,,AUTH,
comments.controller.ts,':entityType/:entityId',AUTH,
comments.controller.ts,,AUTH,
comments.controller.ts,':id',AUTH,
comments.controller.ts,,AUTH,
reporting.controller.ts,'templates',AUTH,
reporting.controller.ts,'templates',AUTH,
reporting.controller.ts,'templates/:id/execute',AUTH,
reporting.controller.ts,'schedules',AUTH,
reporting.controller.ts,'executions',AUTH,
developer.controller.ts,,AUTH,
developer.controller.ts,,AUTH,
developer.controller.ts,':id',AUTH,
developer.controller.ts,':id',AUTH,
developer.controller.ts,':id/rotate-secret',AUTH,
developer.controller.ts,':id',AUTH,
vendors.controller.ts,,AUTH,  @Post()
vendors.controller.ts,,AUTH,  @Post()
vendors.controller.ts,,AUTH,  @Post()
vendors.controller.ts,,AUTH,  @Post()
vendors.controller.ts,':id',AUTH,  @Post()
vendors.controller.ts,'id',AUTH,  @Post()
vendors.controller.ts,':id',AUTH,  @Post()
vendors.controller.ts,,AUTH,  @Post()
vendors.controller.ts,':id',AUTH,  @Post()
vendors.controller.ts,'id',AUTH,  @Post()
purchase-order.controller.ts,,AUTH,  @Post()
purchase-order.controller.ts,,AUTH,  @Post()
purchase-order.controller.ts,,AUTH,  @Post()
purchase-order.controller.ts,,AUTH,  @Post()
purchase-order.controller.ts,':id/receive',AUTH,  @Post()
